Etablissements de sante,Niveau de risque (20-40mm),Niveau de risque (40-70mm),Niveau de risque (70-100mm),Niveau de risque (>100mm)
Hopital local de Bousalem,3,4,5,5
Centre local CNAM de Bousalem,2,3,3,4
